"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL21572";"";"None";"463.48";"1";"2.90";"49";"CSc1c2c(nc(NC(=O)Cc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)nn1C";"IC50";"'='";"21.5";"nM";"7.67";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL640303";"Antagonist activity as inhibition of cAMP generation after agonist-modulation of human Adenosine A2A receptor with 100 nM NECA";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136743";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"21.5"
"CHEMBL1081160";"";"None";"395.51";"0";"4.06";"BDBM50310925";"CN(C)c1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1";"IC50";"'='";"318.3";"nM";"6.50";"";"323813";"UO_0000065";"";"";"";"";"0";"CHEMBL3887220";"Fluorometric Imaging Plate Reader (FLIPR) Asssay: The use of a Fluorometric Imaging Plate Reader (FLIPR) to measure calcium flux in Adenosine-receptor expressing cells is a well-established technique. In this assay calcium flux is triggered by receptor activation and measured through the fluorescence of an incorporated calcium-sensitive dye. The potencies shown were determined using expressed human adenosine A2B receptors in mammalian cell lines. Selectivity values were obtained by using mammalian cell lines expressing the human adenosine A1, A2A and A3 receptors.";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886219";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"318.3"
"CHEMBL1055";"CHLORTHALIDONE";"4.0";"338.77";"0";"0.92";"CHLORTHALIDONE";"NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909214";"DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";"";"";"";""
"CHEMBL424";"SALICYLIC ACID";"4.0";"138.12";"0";"1.09";"SALICYLIC ACID";"O=C(O)c1ccccc1O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909214";"DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";"";"";"";""
"CHEMBL404520";"CHLORTETRACYCLINE";"4.0";"478.89";"1";"0.44";"CHLORTETRACYCLINE";"CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909214";"DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";"";"";"";""
"CHEMBL1077750";"";"None";"288.40";"0";"3.85";"5";"CCc1nc(C(=O)c2ccc(C)s2)c2sccc2n1";"IC50";"'='";"3852.0";"nM";"5.41";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1105840";"Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154258";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307512";"";"";"";"3852.0"
"CHEMBL1078001";"";"None";"380.45";"0";"3.94";"14";"Cc1ccc(C(=O)c2nc(NC(=O)c3cccnc3)nc3ccsc23)s1";"IC50";"'='";"161.0";"nM";"6.79";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1105840";"Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154258";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307512";"";"";"";"161.0"
"CHEMBL1078085";"";"None";"380.50";"0";"4.34";"15";"Cc1ccc(C(=O)c2nc(NCCc3ccccn3)nc3ccsc23)s1";"IC50";"'='";"351.0";"nM";"6.46";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1105840";"Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154258";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307512";"";"";"";"351.0"
"CHEMBL1079044";"";"None";"353.43";"0";"3.39";"25";"O=C(c1cncs1)c1nc(NCc2cccnc2)nc2ccsc12";"IC50";"'='";"1715.0";"nM";"5.77";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1105840";"Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154258";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307512";"";"";"";"1715.0"
"CHEMBL1079893";"";"None";"353.45";"0";"3.50";"43";"C[C@@H](Nc1nc(C(=O)N2CCCC2)c2sccc2n1)c1cccnc1";"IC50";"'='";"6760.0";"nM";"5.17";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1105840";"Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154258";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307512";"";"";"";"6760.0"
"CHEMBL388590";"BENZBROMARONE";"4.0";"424.09";"1";"5.46";"BENZBROMARONE";"CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909214";"DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";"";"";"";""
"CHEMBL541";"BENZOIC ACID";"4.0";"122.12";"0";"1.38";"BENZOIC ACID";"O=C(O)c1ccccc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909214";"DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";"";"";"";""
"CHEMBL1395";"METHYLTESTOSTERONE";"4.0";"302.46";"0";"4.27";"17-METHYLTESTOSTERONE";"C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909214";"DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";"";"";"";""
"CHEMBL5207175";"";"None";"394.48";"1";"5.16";"47a";"CN(Cc1ccccc1)C(=O)c1cccc(Nc2cc(-c3ccccc3)ncn2)c1";"IC50";"'='";"1670.0";"nM";"5.78";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5126844";"Antagonist activity at human adenosine A2A receptor";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5126505";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"";"ANTAGONIST";"";"1.67"
"CHEMBL124897";"";"None";"366.85";"0";"4.95";"3r";"CCCCc1nc2ccc(Cl)cc2c2nc(-c3ccc(OC)cc3)nn12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL875247";"Displacement of specific [3H]-CGS- 21680 binding at human adenosine A2A receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146808";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3307715";"";"";"";"10000.0"
"CHEMBL121339";"";"None";"326.79";"0";"3.66";"1b";"CCCCc1nc2[nH]cnc2c2nc(-c3ccc(Cl)cc3)nn12";"IC50";"'>'";"2600.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL875247";"Displacement of specific [3H]-CGS- 21680 binding at human adenosine A2A receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146808";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3307715";"";"";"";"2600.0"
"CHEMBL5174275";"";"None";"318.34";"0";"1.79";"12y";"Nc1nc(C(=O)NCc2ccncc2)cn2c1nc1ccccc12";"IC50";"'='";"1059.0";"nM";"5.97";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5148543";"Antagonist activity at A2AAR in human HEK293 cells assessed as inhibition of CGS21680-induced cAMP production preincubated for 15 mins followed by CGS21680 addition and measured after 15 mins by HTRF assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5143715";"1";"Scientific Literature";"J Med Chem";"2022";"None";"TIME = 0.5 hr";"ANTAGONIST";"";"1059.0"
"CHEMBL330982";"";"None";"312.34";"0";"3.33";"10";"c1ccc(-c2nc3c4[nH]cnc4nc(-c4ccccc4)n3n2)cc1";"IC50";"'='";"23.0";"nM";"7.64";"";"";"UO_0000065";"24.45";"0.43";"4.31";"10.64";"0";"CHEMBL640305";"Displacement of [3H]CGS-21680 binding to human Adenosine A2A receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135548";"1";"Scientific Literature";"J Med Chem";"2002";"CHEMBL3307715";"";"";"";"23.0"
"CHEMBL3977665";"";"None";"646.53";"2";"5.73";"48";"CCn1nc(-c2cccc(-c3cc(C(=O)NC4CC4)cc(C(=O)NC4CC4)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3863977";"Antagonist activity at adenosine A2a receptor (unknown origin)";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3862036";"1";"Scientific Literature";"J Med Chem";"2016";"None";"";"";"";"1000.0"
"CHEMBL123694";"";"None";"316.41";"0";"4.60";"3t";"CCCCc1nc2cc(C)ccc2c2nc(-c3ccccc3)nn12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL875247";"Displacement of specific [3H]-CGS- 21680 binding at human adenosine A2A receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146808";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3307715";"";"";"";"10000.0"
"CHEMBL331372";"CGS-21680";"None";"499.53";"2";"-0.16";"CGS-21680";"CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1071769";"Agonist activity at adenosine A2A receptor in human neutrophils assessed as inhibition of fMLP-induced reactive oxygen species release by chemiluminescence assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158518";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"19.0"
"CHEMBL592246";"";"None";"464.53";"1";"0.84";"8";"Cc1cnn([C@H]2C[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccccc5)nc43)[C@H](O)[C@@H]2O)c1";"IC50";"'='";"56.0";"nM";"7.25";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1071769";"Agonist activity at adenosine A2A receptor in human neutrophils assessed as inhibition of fMLP-induced reactive oxygen species release by chemiluminescence assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158518";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"56.0"
"CHEMBL125340";"";"None";"356.77";"0";"2.73";"1h";"O=C(O)CCCc1nc2[nH]cnc2c2nc(-c3ccc(Cl)cc3)nn12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL875247";"Displacement of specific [3H]-CGS- 21680 binding at human adenosine A2A receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146808";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3307715";"";"";"";"10000.0"
"CHEMBL81616";"";"None";"323.40";"0";"2.74";"4c";"CC(=O)NCCNc1[nH]c(-c2ccccc2)nc2nc(C)c(C)c1-2";"IC50";"'='";"48.0";"nM";"7.32";"";"";"UO_0000065";"22.63";"0.42";"4.58";"8.85";"0";"CHEMBL649780";"Inhibitory activity against membranes from HEK293 cells stably expressing the human A2a receptor (hA2a)";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131846";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"CHEMBL3307715";"";"";"";"48.0"
"CHEMBL66811";"";"None";"437.46";"0";"3.94";"5a";"Nc1nc2c(cnn2Cc2ccc(OCc3ccccc3)cc2)c2nc(-c3ccco3)nn12";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL696391";"Inhibition of 1 uM NECA-stimulated cyclic AMP levels in human platelets";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131246";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";"";"500.0"
"CHEMBL341041";"";"None";"332.41";"0";"4.30";"9c-2";"CCCCc1nc2ccccc2c2nc(-c3ccc(OC)cc3)nn12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL640304";"Binding affinity for human adenosine A2A receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148255";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3307715";"";"";"";"10000.0"
"CHEMBL1908847";"SPARTEINE";"4.0";"234.39";"0";"2.35";"SPARTEINE";"C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909214";"DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL251";"Adenosine A2a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";"";"";"";""
